"ba52_NDI-T2-CN - ba52_NDI-T2-CN.spc"
"Wavelength nm."	"Abs."
190,000	0,89778
191,000	0,90997
192,000	0,90714
193,000	0,89828
194,000	0,90971
195,000	0,91856
196,000	0,93408
197,000	0,95357
198,000	0,97261
199,000	0,99771
200,000	1,01859
201,000	1,04448
202,000	1,06920
203,000	1,09113
204,000	1,11650
205,000	1,14140
206,000	1,16745
207,000	1,18767
208,000	1,20822
209,000	1,22379
210,000	1,23979
211,000	1,25304
212,000	1,26047
213,000	1,26997
214,000	1,28279
215,000	1,29143
216,000	1,29813
217,000	1,30832
218,000	1,31642
219,000	1,32480
220,000	1,32834
221,000	1,33772
222,000	1,34447
223,000	1,35013
224,000	1,35585
225,000	1,36212
226,000	1,37114
227,000	1,37335
228,000	1,37891
229,000	1,38763
230,000	1,39519
231,000	1,40456
232,000	1,41359
233,000	1,41968
234,000	1,42778
235,000	1,43512
236,000	1,44386
237,000	1,44719
238,000	1,45163
239,000	1,46011
240,000	1,46088
241,000	1,46220
242,000	1,46719
243,000	1,46931
244,000	1,46970
245,000	1,47456
246,000	1,47615
247,000	1,47653
248,000	1,47693
249,000	1,48166
250,000	1,48245
251,000	1,48009
252,000	1,48029
253,000	1,48326
254,000	1,48766
255,000	1,48386
256,000	1,48625
257,000	1,48705
258,000	1,48643
259,000	1,48805
260,000	1,48643
261,000	1,48425
262,000	1,48927
263,000	1,48985
264,000	1,48907
265,000	1,48907
266,000	1,49188
267,000	1,49352
268,000	1,49371
269,000	1,49352
270,000	1,49513
271,000	1,49533
272,000	1,49596
273,000	1,49840
274,000	1,49963
275,000	1,49759
276,000	1,49596
277,000	1,49800
278,000	1,49944
279,000	1,50046
280,000	1,49759
281,000	1,49759
282,000	1,50087
283,000	1,50130
284,000	1,50481
285,000	1,50586
286,000	1,50732
287,000	1,50334
288,000	1,50648
289,000	1,50481
290,000	1,50752
291,000	1,50879
292,000	1,50961
293,000	1,51215
294,000	1,51215
295,000	1,51619
296,000	1,51578
297,000	1,51619
298,000	1,51921
299,000	1,51965
300,000	1,51814
301,000	1,51965
302,000	1,51942
303,000	1,52115
304,000	1,52376
305,000	1,50793
306,000	1,50522
307,000	1,50607
308,000	1,50565
309,000	1,50856
310,000	1,50522
311,000	1,50459
312,000	1,50481
313,000	1,50459
314,000	1,50418
315,000	1,51111
316,000	1,50961
317,000	1,51152
318,000	1,51068
319,000	1,50984
320,000	1,50856
321,000	1,50543
322,000	1,50543
323,000	1,50627
324,000	1,50586
325,000	1,50711
326,000	1,50732
327,000	1,51088
328,000	1,51152
329,000	1,50711
330,000	1,50627
331,000	1,50607
332,000	1,50941
333,000	1,50793
334,000	1,51215
335,000	1,51428
336,000	1,51448
337,000	1,51428
338,000	1,51173
339,000	1,51492
340,000	1,51300
341,000	1,50252
342,000	1,48227
343,000	1,43802
344,000	1,37288
345,000	1,29509
346,000	1,22598
347,000	1,16861
348,000	1,11911
349,000	1,08232
350,000	1,05220
351,000	1,02069
352,000	1,00270
353,000	0,98560
354,000	0,97229
355,000	0,95912
356,000	0,94748
357,000	0,93721
358,000	0,92760
359,000	0,91823
360,000	0,90993
361,000	0,90083
362,000	0,89159
363,000	0,88193
364,000	0,86522
365,000	0,85176
366,000	0,83875
367,000	0,82617
368,000	0,81294
369,000	0,79826
370,000	0,78217
371,000	0,76610
372,000	0,75072
373,000	0,73640
374,000	0,72507
375,000	0,71335
376,000	0,70247
377,000	0,69115
378,000	0,68179
379,000	0,67316
380,000	0,66553
381,000	0,65717
382,000	0,64827
383,000	0,63690
384,000	0,62431
385,000	0,60947
386,000	0,59265
387,000	0,57373
388,000	0,55389
389,000	0,53072
390,000	0,50529
391,000	0,47972
392,000	0,45323
393,000	0,42560
394,000	0,40123
395,000	0,37544
396,000	0,35114
397,000	0,32939
398,000	0,30873
399,000	0,29034
400,000	0,27258
401,000	0,25726
402,000	0,24303
403,000	0,23112
404,000	0,21881
405,000	0,20830
406,000	0,19740
407,000	0,18828
408,000	0,18082
409,000	0,17339
410,000	0,16696
411,000	0,16173
412,000	0,15640
413,000	0,15160
414,000	0,14761
415,000	0,14404
416,000	0,14000
417,000	0,13742
418,000	0,13474
419,000	0,13277
420,000	0,13072
421,000	0,12872
422,000	0,12677
423,000	0,12520
424,000	0,12411
425,000	0,12334
426,000	0,12253
427,000	0,12164
428,000	0,12108
429,000	0,12015
430,000	0,11929
431,000	0,11887
432,000	0,11827
433,000	0,11801
434,000	0,11774
435,000	0,11760
436,000	0,11775
437,000	0,11749
438,000	0,11758
439,000	0,11765
440,000	0,11778
441,000	0,11830
442,000	0,11850
443,000	0,11934
444,000	0,11964
445,000	0,12018
446,000	0,12076
447,000	0,12141
448,000	0,12227
449,000	0,12317
450,000	0,12437
451,000	0,12569
452,000	0,12639
453,000	0,12779
454,000	0,12926
455,000	0,13043
456,000	0,13191
457,000	0,13326
458,000	0,13443
459,000	0,13602
460,000	0,13754
461,000	0,13931
462,000	0,14111
463,000	0,14276
464,000	0,14471
465,000	0,14651
466,000	0,14842
467,000	0,15057
468,000	0,15289
469,000	0,15489
470,000	0,15700
471,000	0,15945
472,000	0,16206
473,000	0,16434
474,000	0,16676
475,000	0,16917
476,000	0,17172
477,000	0,17441
478,000	0,17696
479,000	0,17964
480,000	0,18250
481,000	0,18535
482,000	0,18825
483,000	0,19070
484,000	0,19371
485,000	0,19652
486,000	0,19942
487,000	0,20218
488,000	0,20486
489,000	0,20824
490,000	0,21066
491,000	0,21289
492,000	0,21585
493,000	0,21918
494,000	0,22246
495,000	0,22504
496,000	0,22713
497,000	0,22971
498,000	0,23222
499,000	0,23454
500,000	0,23700
501,000	0,23935
502,000	0,24170
503,000	0,24400
504,000	0,24641
505,000	0,24797
506,000	0,25012
507,000	0,25218
508,000	0,25430
509,000	0,25604
510,000	0,25760
511,000	0,25925
512,000	0,26065
513,000	0,26227
514,000	0,26390
515,000	0,26546
516,000	0,26649
517,000	0,26761
518,000	0,26900
519,000	0,26978
520,000	0,27063
521,000	0,27150
522,000	0,27208
523,000	0,27287
524,000	0,27313
525,000	0,27364
526,000	0,27377
527,000	0,27422
528,000	0,27405
529,000	0,27386
530,000	0,27364
531,000	0,27313
532,000	0,27301
533,000	0,27261
534,000	0,27240
535,000	0,27159
536,000	0,27130
537,000	0,27101
538,000	0,27028
539,000	0,26936
540,000	0,26787
541,000	0,26653
542,000	0,26566
543,000	0,26419
544,000	0,26266
545,000	0,26102
546,000	0,25952
547,000	0,25752
548,000	0,25586
549,000	0,25374
550,000	0,25175
551,000	0,24974
552,000	0,24733
553,000	0,24509
554,000	0,24271
555,000	0,24052
556,000	0,23782
557,000	0,23520
558,000	0,23257
559,000	0,22952
560,000	0,22650
561,000	0,22379
562,000	0,22081
563,000	0,21730
564,000	0,21416
565,000	0,21098
566,000	0,20761
567,000	0,20409
568,000	0,20087
569,000	0,19751
570,000	0,19405
571,000	0,19058
572,000	0,18709
573,000	0,18329
574,000	0,17989
575,000	0,17639
576,000	0,17310
577,000	0,16931
578,000	0,16579
579,000	0,16206
580,000	0,15851
581,000	0,15495
582,000	0,15163
583,000	0,14796
584,000	0,14409
585,000	0,14037
586,000	0,13673
587,000	0,13332
588,000	0,12947
589,000	0,12570
590,000	0,12219
591,000	0,11839
592,000	0,11481
593,000	0,11113
594,000	0,10785
595,000	0,10416
596,000	0,10104
597,000	0,09753
598,000	0,09450
599,000	0,09151
600,000	0,08846
601,000	0,08553
602,000	0,08266
603,000	0,08023
604,000	0,07721
605,000	0,07458
606,000	0,07178
607,000	0,06920
608,000	0,06667
609,000	0,06400
610,000	0,06163
611,000	0,05901
612,000	0,05659
613,000	0,05411
614,000	0,05177
615,000	0,04974
616,000	0,04752
617,000	0,04538
618,000	0,04312
619,000	0,04089
620,000	0,03918
621,000	0,03728
622,000	0,03545
623,000	0,03374
624,000	0,03181
625,000	0,03033
626,000	0,02875
627,000	0,02696
628,000	0,02567
629,000	0,02426
630,000	0,02287
631,000	0,02159
632,000	0,02057
633,000	0,01923
634,000	0,01814
635,000	0,01746
636,000	0,01649
637,000	0,01563
638,000	0,01477
639,000	0,01408
640,000	0,01315
641,000	0,01237
642,000	0,01164
643,000	0,01106
644,000	0,01056
645,000	0,00986
646,000	0,00946
647,000	0,00893
648,000	0,00841
649,000	0,00761
650,000	0,00714
651,000	0,00679
652,000	0,00641
653,000	0,00606
654,000	0,00528
655,000	0,00513
656,000	0,00462
657,000	0,00432
658,000	0,00417
659,000	0,00429
660,000	0,00417
661,000	0,00407
662,000	0,00450
663,000	0,00465
664,000	0,00507
665,000	0,00568
666,000	0,00627
667,000	0,00713
668,000	0,00810
669,000	0,00920
670,000	0,01027
671,000	0,01172
672,000	0,01305
673,000	0,01373
674,000	0,01431
675,000	0,01497
676,000	0,01556
677,000	0,01540
678,000	0,01538
679,000	0,01488
680,000	0,01408
681,000	0,01341
682,000	0,01225
683,000	0,01085
684,000	0,00977
685,000	0,00850
686,000	0,00726
687,000	0,00607
688,000	0,00487
689,000	0,00378
690,000	0,00298
691,000	0,00230
692,000	0,00191
693,000	0,00122
694,000	0,00075
695,000	0,00032
696,000	0,00014
697,000	-0,00008
698,000	-0,00038
699,000	-0,00029
700,000	-0,00003
701,000	-0,00005
702,000	-0,00017
703,000	0,00018
704,000	0,00090
705,000	0,00122
706,000	0,00117
707,000	0,00124
708,000	0,00140
709,000	0,00146
710,000	0,00146
711,000	0,00163
712,000	0,00174
713,000	0,00128
714,000	0,00070
715,000	0,00027
716,000	0,00015
717,000	-0,00035
718,000	-0,00072
719,000	-0,00096
720,000	-0,00110
721,000	-0,00156
722,000	-0,00174
723,000	-0,00188
724,000	-0,00142
725,000	-0,00134
726,000	-0,00165
727,000	-0,00168
728,000	-0,00160
729,000	-0,00157
730,000	-0,00172
731,000	-0,00172
732,000	-0,00157
733,000	-0,00153
734,000	-0,00151
735,000	-0,00121
736,000	-0,00122
737,000	-0,00114
738,000	-0,00162
739,000	-0,00139
740,000	-0,00139
741,000	-0,00130
742,000	-0,00150
743,000	-0,00153
744,000	-0,00148
745,000	-0,00122
746,000	-0,00150
747,000	-0,00146
748,000	-0,00119
749,000	-0,00098
750,000	-0,00110
751,000	-0,00121
752,000	-0,00095
753,000	-0,00101
754,000	-0,00137
755,000	-0,00128
756,000	-0,00069
757,000	-0,00060
758,000	-0,00098
759,000	-0,00092
760,000	-0,00095
761,000	-0,00081
762,000	-0,00078
763,000	-0,00058
764,000	-0,00076
765,000	-0,00081
766,000	-0,00069
767,000	-0,00049
768,000	-0,00058
769,000	-0,00005
770,000	-0,00026
771,000	-0,00003
772,000	-0,00040
773,000	-0,00044
774,000	-0,00005
775,000	-0,00056
776,000	-0,00006
777,000	-0,00005
778,000	-0,00014
779,000	0,00015
780,000	0,00011
781,000	-0,00006
782,000	0,00024
783,000	0,00031
784,000	-0,00014
785,000	0,00027
786,000	-0,00029
787,000	0,00012
788,000	0,00060
789,000	0,00078
